payment_id,loan_id,payment_amount,payment_date
130,43,2068.09,2024-02-17
131,43,2091.69,2024-03-20
132,43,2168.24,2024-04-21
133,43,2175.46,2024-05-23
134,43,2181.31,2024-06-24
135,43,2227.65,2024-07-26
136,45,2566.05,2024-01-30
137,45,2571.77,2024-03-02
138,45,2618.43,2024-04-03
139,45,2633.77,2024-05-05
140,48,796.93,2024-01-23
141,48,821.11,2024-02-24
142,48,830.39,2024-03-27
143,24,1703.69,2025-02-01
144,24,1727.32,2025-03-08
145,24,1787.75,2025-04-08
146,24,1779.79,2025-05-13
147,10,1003.72,2025-01-09
148,10,1006.53,2025-02-13
149,10,1045.35,2025-03-19
150,10,1027.25,2025-04-16
151,10,1059.72,2025-05-21
152,11,1196.35,2025-01-23
153,11,1159.68,2025-02-25
154,11,1209.38,2025-03-25
155,11,1165.95,2025-04-26
156,11,1216.26,2025-05-26
157,11,1184.03,2025-06-30
158,35,2352.31,2025-03-23
159,35,2341.22,2025-04-21
160,35,2313.44,2025-05-26
161,35,2281.43,2025-06-24
162,35,2324.03,2025-07-28
163,35,2363.72,2025-08-28
164,31,2169.65,2025-02-22
165,31,2198.49,2025-03-25
166,31,2202.77,2025-04-27
167,31,2222.25,2025-05-29
168,31,2201.99,2025-06-29
169,29,1964.40,2025-05-12
170,29,1979.33,2025-06-13
171,29,2049.77,2025-07-16
172,29,1981.77,2025-08-14
173,29,2095.14,2025-09-12
174,29,2034.96,2025-10-13
175,12,1228.20,2025-02-09
176,12,1202.48,2025-03-13
177,12,1241.76,2025-04-10
178,32,2184.98,2025-05-15
179,32,2108.17,2025-06-13
180,32,2140.62,2025-07-17
181,18,1470.71,2025-04-20
182,18,1523.15,2025-05-18
183,18,1551.43,2025-06-19
184,18,1501.45,2025-07-21
185,18,1575.06,2025-08-25
186,28,2187.28,2025-01-05
187,28,2142.79,2025-02-03
188,28,2169.26,2025-03-06
189,30,2100.16,2025-04-08
190,30,1998.85,2025-05-08
191,30,2035.04,2025-06-08
192,30,2085.99,2025-07-12
193,30,2047.61,2025-08-13
194,6,1152.65,2025-04-15
195,6,1204.13,2025-05-13
196,6,1184.49,2025-06-15
197,6,1193.33,2025-07-14
198,42,2315.01,2025-04-14
199,42,2353.36,2025-05-17
200,42,2437.23,2025-06-14
201,42,2351.52,2025-07-12
202,42,2495.24,2025-08-13
203,23,1602.08,2025-02-04
204,23,1561.65,2025-03-04
205,23,1578.61,2025-04-05
206,2,949.81,2025-06-10
207,2,989.09,2025-07-12
208,2,1002.48,2025-08-11
209,2,1020.78,2025-09-12
210,43,2797.85,2025-03-22
211,43,2868.72,2025-04-23
212,43,2879.48,2025-05-26
213,43,2847.90,2025-06-25
214,19,1617.53,2025-01-25
215,19,1553.70,2025-02-26
216,19,1568.46,2025-03-26
217,19,1568.43,2025-04-30
218,39,2357.62,2025-04-26
219,39,2347.94,2025-05-28
220,39,2349.46,2025-06-26
221,39,2400.97,2025-07-30
222,39,2370.26,2025-08-31
223,39,2378.98,2025-10-02
224,51,2477.55,2025-07-22
225,51,2510.52,2025-08-19
226,51,2459.78,2025-09-19
227,51,2541.21,2025-10-23
228,51,2532.01,2025-11-24
229,54,1109.90,2025-08-13
230,54,1143.64,2025-09-13
231,54,1152.70,2025-10-11
232,54,1134.17,2025-11-09
233,54,1154.91,2025-12-12
234,54,1160.48,2026-01-16
235,54,1161.46,2026-02-18
236,55,1045.53,2024-12-03
237,55,1058.64,2025-01-03
238,55,1064.81,2025-02-03
239,55,1069.93,2025-03-04
240,56,1159.17,2025-06-08
241,56,1188.86,2025-07-10
242,56,1201.22,2025-08-12
243,56,1203.39,2025-09-10
244,56,1211.92,2025-10-15
245,56,1196.02,2025-11-13
246,58,1069.49,2024-12-07
247,58,1060.98,2025-01-11
248,58,1078.82,2025-02-13
249,58,1080.50,2025-03-16
250,58,1096.52,2025-04-19
251,58,1053.54,2025-05-22
252,58,1120.25,2025-06-26
253,59,1326.98,2025-07-17
254,59,1328.65,2025-08-20
255,59,1356.18,2025-09-22
256,59,1364.33,2025-10-24
257,59,1352.06,2025-11-24
258,60,1087.28,2025-05-20
259,60,1095.63,2025-06-20
260,60,1089.13,2025-07-21
261,60,1103.14,2025-08-24
262,61,1242.40,2025-05-05
263,61,1304.28,2025-06-08
264,61,1317.94,2025-07-10
265,61,1278.39,2025-08-14
266,61,1317.87,2025-09-17
267,65,1517.90,2026-03-16
268,65,1546.81,2026-04-14
269,65,1565.27,2026-05-17
270,65,1613.20,2026-06-17
271,65,1562.67,2026-07-22
272,65,1613.66,2026-08-21
273,66,1152.70,2024-06-28
274,66,1184.23,2024-08-01
275,66,1192.88,2024-08-30
276,66,1212.67,2024-09-28
277,66,1209.24,2024-10-28
278,66,1257.72,2024-12-01
279,67,1296.47,2026-05-20
280,67,1322.75,2026-06-23
281,67,1334.32,2026-07-21
282,67,1328.50,2026-08-23
283,67,1380.84,2026-09-20
284,67,1326.26,2026-10-20
285,73,1421.38,2026-07-30
286,73,1441.97,2026-08-30
287,73,1424.11,2026-10-04
288,73,1451.57,2026-11-07
289,74,1625.03,2024-12-28
290,74,1558.93,2025-01-29
291,74,1609.94,2025-03-03
292,74,1637.66,2025-04-02
293,80,1678.52,2026-04-30
294,80,1663.98,2026-05-28
295,80,1710.86,2026-07-01
296,80,1684.03,2026-07-29
297,86,1784.14,2024-08-11
298,86,1769.36,2024-09-13
299,86,1818.58,2024-10-13
300,86,1845.14,2024-11-10
301,86,1888.09,2024-12-09
302,86,1898.78,2025-01-13
303,87,1811.87,2025-08-07
304,87,1841.25,2025-09-05
305,87,1872.88,2025-10-10
306,87,1887.67,2025-11-10
307,87,1874.99,2025-12-15
308,88,2343.11,2026-02-26
309,88,2373.90,2026-03-26
310,88,2351.65,2026-04-30
311,88,2431.93,2026-06-02
312,88,2439.46,2026-07-05
313,88,2474.67,2026-08-09
